outcome,estimate_bare,estimate_covars,estimate_full,r2_bare,r2_covars,r2_full,coef_movement,movement_share
corruption_index,0.1422230164700413,0.13895362912104184,0.14489987862016182,0.5077578913128569,0.5157287942113473,0.5180235595586677,0.002676862150120529,0.018821581882876175
z_o1_dup_share,-0.03148798399272548,-0.03786459886034067,-0.04047250873817215,0.7469035845745979,0.7486648227948117,0.7490427756498861,-0.00898452474544667,0.2853318506361767
z_o2_photo_share,0.09126259810591185,0.09171059662211538,0.09704421443561365,0.3047811018930914,0.3066094000857018,0.30935685893931464,0.005781616329701797,0.06335143256596891
z_o3_excess_ghost,0.10334915972746049,0.11333751245246734,0.11014727025746482,0.6215979299572484,0.6246679021736862,0.6265751638582069,0.006798110530004328,0.06577809193544928
z_o4_dead_soul,0.06761237090861469,0.0820014021466798,0.08892708159954167,0.49064655123015466,0.5221653198634635,0.52352535016539,0.021314710690926983,0.3152486801525727
z_o5_targeting,0.007338266726205247,-0.012149594073308899,-0.0031430092849430557,0.2689533565482055,0.2821785248612009,0.2875855054527161,-0.010481276011148302,-1.4283040399334683
z_o6a_irregular,-0.012393916481509448,-0.02474347344795716,-0.02970298754195613,0.35532898990131345,0.3700387677220204,0.37067568689919117,-0.01730907106044668,1.3965779974611074
z_o6b_ghost_offtake_pc,0.061432234051236774,0.05305825025159323,0.054578309217214245,0.9270117038650595,0.9277500367785154,0.9278624820561884,-0.006853924834022529,-0.11156886836161778
z_o6d_subsidised_no_tx,-0.04373498124417678,-0.05626020381149696,-0.060638880577792015,0.5414747958053626,0.5468589430921542,0.5477521173606622,-0.016903899333615233,0.38650752447426623
z_a1_qty_pm_pc,0.025206434717297353,0.03710249526079822,0.04094531662605498,0.44459723797056205,0.4531633477011503,0.45433643254926925,0.015738881908757628,0.6243993680691848
z_a1b_qty_pm_pc_2019,-0.0057993413719931155,0.003964878963350717,0.0031338313099791653,0.41992983938053796,0.42480074605518914,0.42632590449927255,0.00893317268197228,-1.5403771064613379
z_a2_qty_per_card_pm,0.1717655090870024,0.14759239923298992,0.154861085398808,0.5392733754624509,0.5601883024779808,0.562185784006348,-0.016904423688194392,-0.0984157050973021
z_a4_cards_per_100hh,-0.0950124472661754,-0.12095390161917041,-0.13427976652354784,0.6470807110277115,0.6606177712903258,0.6706117342735491,-0.03926731925737244,0.4132860523775991
z_a5_hh_linked_share,0.02495741904013464,0.024185952037265743,0.020042456770899386,0.6860448394172584,0.6905571467692944,0.6924757625182956,-0.004914962269235254,-0.196933916176644
